fra;week;P_f;P_h;P;pop_f;pop_h;cl_age90;pop
FR;2020-S45;6151;2015;8175;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-S45;158275;134332;293740;34692807.7476749;32422187.2523251;0;67114995
FR;2020-S46;2784;2839;5745;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-S46;10855;10618;21746;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-S46;12318;9744;22111;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-S46;12777;9945;22744;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-S46;13367;10663;24059;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-S46;13111;11344;24487;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-S46;8809;8504;17365;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-S46;6355;6212;12576;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-S46;7330;4275;11618;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-S46;5531;1682;7222;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-S46;93278;75864;169777;34692807.7476749;32422187.2523251;0;67114995
FR;2020-S47;2013;2145;4289;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-S47;7221;7264;14652;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-S47;8048;6322;14411;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-S47;8634;6510;15163;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-S47;9059;7071;16148;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-S47;8296;7155;15477;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-S47;5211;5097;10344;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-S47;3881;3711;7601;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-S47;5212;2939;8162;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-S47;4208;1222;5434;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-S47;61837;49480;111897;34692807.7476749;32422187.2523251;0;67114995
FR;2020-S48;1286;1331;2672;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-S48;4814;4691;9617;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-S48;5665;4294;9984;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-S48;6099;4492;10611;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-S48;6250;4839;11115;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-S48;5828;4821;10670;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-S48;3390;3247;6654;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-S48;2673;2549;5227;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-S48;3977;2121;6110;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-S48;3289;981;4275;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-S48;43285;33383;76973;34692807.7476749;32422187.2523251;0;67114995
FR;2020-S49;1152;1335;2547;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-S49;4151;4084;8335;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-S49;5727;4240;9989;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-S49;5922;4353;10295;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-S49;5754;4523;10295;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-S49;5404;4447;9869;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-S49;3299;3231;6551;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-S49;2478;2285;4772;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-S49;3807;2086;5896;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-S49;3361;954;4317;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-S49;41064;31547;72891;34692807.7476749;32422187.2523251;0;67114995
FR;2020-S50;1280;1344;2666;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-S50;4541;4566;9201;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-S50;6424;4995;11446;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-S50;6605;5151;11777;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-S50;6407;5079;11520;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-S50;5812;5079;10921;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-S50;3743;3648;7410;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-S50;2792;2653;5454;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-S50;3774;2138;5918;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-S50;3178;925;4105;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-S50;44569;35586;80449;34692807.7476749;32422187.2523251;0;67114995
FR;2020-S51;1385;1486;2923;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-S51;5765;5576;11445;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-S51;8072;6012;14119;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-S51;8317;6653;14989;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-S51;7926;6321;14271;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-S51;7346;6367;13737;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-S51;4831;4797;9650;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-S51;3544;3305;6857;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-S51;4166;2440;6615;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-S51;3377;1012;4397;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-S51;54744;43989;99053;34692807.7476749;32422187.2523251;0;67114995
FR;2020-S52;1106;1139;2283;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-S52;4330;4179;8582;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-S52;7027;5557;12609;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-S52;7150;5514;12678;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-S52;6486;5552;12058;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-S52;6305;5469;11784;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-S52;4111;4157;8289;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-S52;3015;2718;5745;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-S52;3507;2000;5516;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-S52;2657;853;3512;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-S52;45706;37148;83093;34692807.7476749;32422187.2523251;0;67114995
FR;2020-S53;1317;1293;2651;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-S53;5366;5089;10539;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-S53;8545;7060;15625;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-S53;8357;6823;15198;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-S53;7357;6320;13690;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-S53;7220;6284;13519;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-S53;5239;4933;10194;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-S53;3614;3311;6939;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-S53;3661;2128;5794;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-S53;2471;781;3256;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-S53;53157;44029;97428;34692807.7476749;32422187.2523251;0;67114995
FR;2021-S01;1829;2022;3913;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2021-S01;7861;7461;15459;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2021-S01;11524;9870;21434;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2021-S01;10501;8771;19311;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2021-S01;9475;8156;17664;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2021-S01;9173;7828;17030;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2021-S01;6436;6101;12572;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2021-S01;4380;4008;8404;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2021-S01;4536;2657;7203;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2021-S01;3154;1062;4218;672069.992695578;240510.613577276;90;912580.606272853
FR;2021-S01;68881;57952;127244;34692807.7476749;32422187.2523251;0;67114995
FR;2021-S02;2112;2215;4419;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2021-S02;7930;7964;16053;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2021-S02;10560;8637;19237;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2021-S02;10430;8588;19052;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2021-S02;10116;8421;18565;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2021-S02;9534;8380;17936;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2021-S02;6218;6217;12465;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2021-S02;4517;4224;8749;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2021-S02;4980;2970;7964;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2021-S02;3860;1207;5079;672069.992695578;240510.613577276;90;912580.606272853
FR;2021-S02;70272;58843;129641;34692807.7476749;32422187.2523251;0;67114995
FR;2021-S03;2863;2955;5941;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2021-S03;9073;9295;18559;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2021-S03;10970;8930;19934;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2021-S03;11517;9119;20659;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2021-S03;11461;9530;21015;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2021-S03;10434;9269;19731;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2021-S03;6845;6797;13679;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2021-S03;4827;4429;9262;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2021-S03;5127;3106;8241;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2021-S03;3851;1157;5022;672069.992695578;240510.613577276;90;912580.606272853
FR;2021-S03;76977;64610;142115;34692807.7476749;32422187.2523251;0;67114995
FR;2021-S04;2925;3126;6206;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2021-S04;9242;9546;19028;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2021-S04;11048;8964;20066;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2021-S04;12039;9318;21384;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2021-S04;11656;9611;21291;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2021-S04;10243;9136;19409;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2021-S04;7045;6743;13834;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2021-S04;4896;4701;9614;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2021-S04;5257;3249;8527;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2021-S04;3956;1185;5149;672069.992695578;240510.613577276;90;912580.606272853
FR;2021-S04;78326;65601;144557;34692807.7476749;32422187.2523251;0;67114995
FR;2021-S05;2887;3037;6038;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2021-S05;9301;9403;18930;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2021-S05;10904;9038;19985;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2021-S05;11425;9196;20643;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2021-S05;11438;9582;21042;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2021-S05;9927;9146;19091;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2021-S05;6878;6719;13655;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2021-S05;4635;4333;8976;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2021-S05;4690;2926;7625;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2021-S05;3355;1049;4408;672069.992695578;240510.613577276;90;912580.606272853
FR;2021-S05;75464;64457;140464;34692807.7476749;32422187.2523251;0;67114995
FR;2021-S06;2838;2965;6008;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2021-S06;8578;8687;17474;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2021-S06;10361;8603;18997;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2021-S06;11159;8862;20040;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2021-S06;10543;9002;19557;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2021-S06;8956;8364;17344;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2021-S06;6252;6140;12450;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2021-S06;3903;3629;7532;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2021-S06;3773;2444;6222;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2021-S06;2566;859;3430;672069.992695578;240510.613577276;90;912580.606272853
FR;2021-S06;68944;59563;129096;34692807.7476749;32422187.2523251;0;67114995
FR;2021-S07;2856;3026;5997;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2021-S07;8910;9242;18376;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2021-S07;11582;10160;21790;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2021-S07;12212;10213;22465;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2021-S07;11744;10296;22079;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2021-S07;9747;9430;19217;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2021-S07;6636;6417;13108;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2021-S07;4202;3892;8105;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2021-S07;3552;2393;5957;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2021-S07;2266;757;3027;672069.992695578;240510.613577276;90;912580.606272853
FR;2021-S07;73726;65851;140184;34692807.7476749;32422187.2523251;0;67114995
FR;2021-S08;3039;3316;6498;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2021-S08;9671;9785;19709;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2021-S08;12671;11231;23948;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2021-S08;12776;11068;23903;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2021-S08;12335;11024;23406;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2021-S08;10858;10432;21337;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2021-S08;7384;7143;14578;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2021-S08;4607;4289;8909;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2021-S08;3330;2178;5517;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2021-S08;1865;705;2576;672069.992695578;240510.613577276;90;912580.606272853
FR;2021-S08;78550;71189;150431;34692807.7476749;32422187.2523251;0;67114995
FR;2021-S09;3282;3598;7055;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2021-S09;10216;10384;20899;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2021-S09;13013;11498;24569;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2021-S09;12610;11035;23692;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2021-S09;12168;10529;22756;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2021-S09;10386;10015;20448;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2021-S09;7364;6863;14286;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2021-S09;4418;4027;8455;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2021-S09;2924;1971;4898;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2021-S09;1330;555;1885;672069.992695578;240510.613577276;90;912580.606272853
FR;2021-S09;77732;70499;149026;34692807.7476749;32422187.2523251;0;67114995
FR;2021-S10;4483;4813;9564;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2021-S10;13025;13367;26779;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2021-S10;15839;14311;30213;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2021-S10;15313;13426;28800;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2021-S10;14496;13261;27811;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2021-S10;12399;11857;24310;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2021-S10;8315;7884;16287;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2021-S10;4799;4380;9196;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2021-S10;2975;2025;5011;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2021-S10;1307;568;1876;672069.992695578;240510.613577276;90;912580.606272853
FR;2021-S10;92967;85912;179902;34692807.7476749;32422187.2523251;0;67114995
FR;2021-S11;6255;6596;13186;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2021-S11;15887;16393;32839;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2021-S11;18045;16153;34272;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2021-S11;18875;15678;34632;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2021-S11;17300;15494;32876;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2021-S11;14377;13637;28079;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2021-S11;9869;9032;19016;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2021-S11;5214;4865;10106;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2021-S11;3249;2211;5472;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2021-S11;1546;605;2156;672069.992695578;240510.613577276;90;912580.606272853
FR;2021-S11;110638;100692;212691;34692807.7476749;32422187.2523251;0;67114995
FR;2021-S12;7940;8378;16695;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2021-S12;21019;21725;43417;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2021-S12;21177;18590;39887;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2021-S12;22988;19165;42252;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2021-S12;21648;19448;41195;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2021-S12;17304;16590;33981;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2021-S12;11395;10826;22397;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2021-S12;6010;5637;11663;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2021-S12;3716;2426;6152;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2021-S12;1689;685;2376;672069.992695578;240510.613577276;90;912580.606272853
FR;2021-S12;134923;123505;260107;34692807.7476749;32422187.2523251;0;67114995
FR;2021-S13;7972;8126;16499;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2021-S13;22289;22996;46038;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2021-S13;22691;20976;43809;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2021-S13;23833;20318;44272;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2021-S13;23056;21214;44401;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2021-S13;18569;18029;36690;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2021-S13;11759;11016;22889;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2021-S13;6321;5882;12225;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2021-S13;3874;2572;6460;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2021-S13;1751;786;2537;672069.992695578;240510.613577276;90;912580.606272853
FR;2021-S13;142153;131969;275932;34692807.7476749;32422187.2523251;0;67114995
FR;2021-S14;5027;5233;10577;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2021-S14;16161;15808;32535;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2021-S14;20748;19026;39945;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2021-S14;20628;17949;38710;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2021-S14;20270;18380;38762;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2021-S14;16636;16089;32833;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2021-S14;10507;9693;20240;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2021-S14;5545;5176;10743;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2021-S14;3378;2259;5644;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2021-S14;1538;653;2195;672069.992695578;240510.613577276;90;912580.606272853
FR;2021-S14;120477;110305;232274;34692807.7476749;32422187.2523251;0;67114995
FR;2021-S15;4697;4976;9931;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2021-S15;15428;15137;31028;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2021-S15;20417;19275;39870;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2021-S15;19714;17980;37865;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2021-S15;18906;17831;36862;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2021-S15;16437;16433;32981;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2021-S15;10417;9793;20265;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2021-S15;5420;5232;10678;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2021-S15;3358;2287;5655;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2021-S15;1609;653;2265;672069.992695578;240510.613577276;90;912580.606272853
FR;2021-S15;116432;109623;227482;34692807.7476749;32422187.2523251;0;67114995
FR;2021-S16;4790;4995;10034;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2021-S16;13642;13222;27227;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2021-S16;18556;18099;36846;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2021-S16;17236;16049;33410;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2021-S16;16267;15686;32062;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2021-S16;14296;14455;28846;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2021-S16;9246;8630;17928;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2021-S16;4746;4510;9268;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2021-S16;2956;1991;4952;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2021-S16;1579;650;2236;672069.992695578;240510.613577276;90;912580.606272853
FR;2021-S16;103357;98327;202914;34692807.7476749;32422187.2523251;0;67114995
